"Qty";"Value";"Device";"Package";"Parts";"Description";"MANUFACTURER";"PN";"VALUE";
"1";"";"PINHD-1X2";"1X02";"JP1";"PIN HEADER";"";"";"";
"1";".1uF";"08051C104J4T4A";"C0805";"C4";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 100V .1uF X7R 0805 5% AEC-Q200";"AVX";"08051C104J4T4A";".1uF";
"1";"100pF";"08055U101JAT2A";"C0805";"C9";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 100pF C0G 0805 5% Tol";"AVX";"08055U101JAT2A";"100pF";
"1";"10pF";"08051A100JAT4A";"C0805";"C3";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 100V 10pF C0G 0805 5% Tol";"AVX";"08051A100JAT4A";"10pF";
"1";"10uF";"0805YD106KAT2A";"C0805";"C2";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 16VDC 10uF X5R 0805 10%";"AVX";"0805YD106KAT2A";"10uF";
"1";"22uF";"GRM219R60G226ME66D";"C0805";"C10";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 22uF 4 VDC Tol 20% X5R";"Murata";"GRM219R60G226ME66D";"22uF";
"2";"4.3pF";"251R15S4R3CV4E";"C0805";"C1, C12";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 250volts 4.3pF";"Johnson";"251R15S4R3CV4E";"4.3pF";
"1";"470pF";"08053A471JAT2A";"C0805";"C7";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 25V 470pF C0G 0805 5%";"AVX";"08053A471JAT2A";"470pF";
"1";"5.1pF";"08052U5R1CAT2A";"C0805";"C5";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 200V 5.1pF C0G 0805 .25pF Tol";"AVX";"08052U5R1CAT2A";"5.1pF";
"1";"5.6pF";"08055A5R6JAT2A";"C0805";"C8";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 5.6pF C0G 0805 5%";"AVX";"08055A5R6JAT2A";"5.6pF";
"1";"6.8pF";"08052U6R8DAT2A";"C0805";"C6";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 200V 6.8pF C0G 0805 .5pF Tol";"AVX";"08052U6R8DAT2A";"6.8pF";
"1";"NC";"NC_0805";"C0805";"C11";"This is a not connected capacitor in the 0805 size. This is created to facilitate de BOM generation";"N/A";"N/A";"NC";
